participant_id,frame_id,cognitive_load_label,environment_info,happy,sad,angry,fear,disgust,surprise,neutral
P01,0,high,high_light_classroom,0.0016435353,0.0033204618,5.4233595e-05,0.00046121597,2.098012e-11,2.1799037e-06,0.9945183
P01,1,high,high_light_classroom,0.00045716568,0.0013176547,3.4823173e-05,0.0005612899,2.5915624e-11,2.9162288e-06,0.9976261
P01,2,high,high_light_classroom,0.0014702189,0.0028096584,2.9394852e-05,0.0005223537,2.9612937e-11,1.8306723e-06,0.9951665
P01,3,high,high_light_classroom,0.0013760945,0.0024927459,1.5315925e-05,0.00068002485,1.3062039e-11,2.0794969e-06,0.9954338
P01,4,high,high_light_classroom,0.0028872157,0.0025908677,2.9032251e-05,0.0008570557,3.7819466e-11,2.8974982e-06,0.9936329
P01,5,high,high_light_classroom,0.0013961059,0.003116121,4.592634e-05,0.00064286805,3.8921266e-11,2.0032362e-06,0.994797
P01,6,high,high_light_classroom,0.0013497126,0.0013452296,8.931674e-06,0.00027643368,2.1409554e-12,9.716488e-07,0.99701864
P01,7,high,high_light_classroom,0.000993568,0.0012935989,1.5803256e-05,0.0003138359,5.1433176e-12,1.0595259e-06,0.9973822
P01,8,high,high_light_classroom,0.003977896,0.0026936939,4.9580056e-05,0.0016075915,1.8051038e-11,4.1585463e-06,0.9916671
P01,9,high,high_light_classroom,0.0029153312,0.0022969395,3.7435533e-05,0.00096673466,2.2334917e-11,3.1308446e-06,0.99378043
P01,10,high,high_light_classroom,0.00014712427,0.0018222327,9.537983e-05,0.0006667411,5.1486287e-11,2.5747252e-06,0.99726593
P01,11,high,high_light_classroom,0.009375554,0.034848116,0.00037373585,0.024522621,8.3475166e-10,2.6651694e-05,0.93085337
P01,12,high,high_light_classroom,0.0030210488,0.008048838,9.513225e-05,0.0043628113,2.2651284e-10,5.7923676e-06,0.9844664
P01,13,high,high_light_classroom,0.0013611962,0.0035149963,5.0638755e-05,0.003392595,2.6678867e-11,6.0786533e-06,0.9916745
P01,14,high,high_light_classroom,0.00070908037,0.0076027783,0.00033682163,0.0025540981,3.2416814e-10,5.151496e-06,0.9887921
P01,15,high,high_light_classroom,0.0005606548,0.006698609,3.39782e-05,0.0026252395,9.267728e-12,1.0110175e-06,0.9900806
P01,16,high,high_light_classroom,0.00035471708,0.0033683642,3.205064e-05,0.0012950263,8.938095e-12,1.1365453e-06,0.99494874
P01,17,high,high_light_classroom,0.00024731093,0.002418493,0.00013660947,0.0006593891,7.143874e-11,1.7971487e-06,0.99653643
P01,18,high,high_light_classroom,0.000119545584,0.00066945935,2.2809434e-05,0.00021707435,2.3597832e-12,7.2166375e-07,0.9989704
P01,19,high,high_light_classroom,0.00081539334,0.008107155,0.0003672243,0.005152428,1.2540248e-09,1.2636915e-05,0.9855452
P01,20,high,high_light_classroom,0.00010382217,0.003794658,6.8044355e-05,0.0010516337,7.3551625e-12,1.2210337e-06,0.99498063
P01,21,high,high_light_classroom,0.00024219099,0.003942163,4.204853e-05,0.0013529673,6.9791278e-12,1.36473e-06,0.99441934
P01,22,high,high_light_classroom,0.00024219099,0.003942163,4.204853e-05,0.0013529673,6.9791278e-12,1.36473e-06,0.99441934
P01,23,high,high_light_classroom,0.002747451,0.009383141,0.00021294416,0.0046004755,1.8937132e-10,9.367024e-06,0.9830466
P01,24,high,high_light_classroom,0.0001653857,0.0010485508,9.538387e-06,0.000389029,4.4510562e-13,6.114895e-07,0.99838686
P01,25,high,high_light_classroom,0.0017534419,0.003879294,5.3670876e-05,0.0023433266,3.207907e-11,4.401643e-06,0.9919659
P01,26,high,high_light_classroom,0.0011696715,0.0032825498,8.606647e-05,0.001034914,6.460475e-11,2.4706374e-06,0.99442434
P01,27,high,high_light_classroom,0.0020757676,0.0019538745,1.802374e-05,0.0013593095,9.311518e-12,3.1242848e-06,0.9945899
P01,28,high,high_light_classroom,0.00060065574,0.0010787068,1.4525108e-05,0.00045838926,3.1359733e-12,1.2906778e-06,0.9978464
P01,29,high,high_light_classroom,0.00074043346,0.0015457256,3.2232365e-05,0.0005611543,1.5100237e-11,1.7125054e-06,0.9971188
P01,30,high,high_light_classroom,0.0015477587,0.0035055927,1.4915976e-05,0.0017597548,4.7587923e-12,1.2420188e-06,0.9931707
P01,31,high,high_light_classroom,0.0005872692,0.0014452995,1.2068065e-05,0.0006187626,1.433757e-12,1.0426678e-06,0.9973356
P01,32,high,high_light_classroom,0.00046102042,0.0011342351,1.6384325e-05,0.00038193155,2.7747843e-12,8.297294e-07,0.9980055
P01,33,high,high_light_classroom,0.00040179788,0.0010688142,1.34314705e-05,0.0003685699,1.6415455e-12,8.779635e-07,0.99814653
P01,34,high,high_light_classroom,0.00042091147,0.0006892396,1.0082306e-05,0.00012730886,6.3613e-13,5.205542e-07,0.998752
P01,35,high,high_light_classroom,0.00042091147,0.0006892396,1.0082306e-05,0.00012730886,6.3613e-13,5.205542e-07,0.998752
P01,36,high,high_light_classroom,0.00017055558,0.000346061,8.650142e-06,4.522611e-05,7.4267544e-14,1.8400357e-07,0.9994294
P01,37,high,high_light_classroom,0.00029410684,0.00024161143,1.5674764e-06,3.3128286e-05,2.4698317e-14,1.9617023e-07,0.9994294
P01,38,high,high_light_classroom,0.0005484314,0.0005628609,5.232039e-06,0.00015083986,5.008633e-13,3.849196e-07,0.9987323
P01,39,high,high_light_classroom,0.00030274896,0.0009226729,2.6604039e-05,0.00018036208,2.2348761e-12,6.964249e-07,0.99856687
P01,40,high,high_light_classroom,0.00063810183,0.0005670365,3.8033252e-06,0.00012811465,5.4045955e-13,5.339599e-07,0.99866235
P01,41,high,high_light_classroom,8.099298e-05,0.00021725855,7.929031e-06,1.7673721e-05,1.2989447e-13,1.3711822e-07,0.999676
P01,42,high,high_light_classroom,4.9584494e-05,0.00014574415,2.2762208e-06,1.2732833e-05,7.418651e-15,7.76863e-08,0.9997896
P01,43,high,high_light_classroom,0.00026004907,0.00015378231,4.3384728e-07,2.187177e-05,2.8947952e-15,9.5215476e-08,0.99956375
P01,44,high,high_light_classroom,0.00011804835,0.00032816175,6.4072815e-06,3.03981e-05,1.370859e-13,2.7600024e-07,0.9995167
P01,45,high,high_light_classroom,7.335458e-05,0.0001224361,1.8527419e-06,9.255019e-06,6.337281e-15,8.613334e-08,0.999793
P01,46,high,high_light_classroom,2.1868154e-05,4.8574257e-05,1.4832726e-06,2.3204775e-06,6.5526485e-16,3.950229e-08,0.9999258
P01,47,high,high_light_classroom,8.065247e-05,0.0021694142,9.213401e-05,0.00026481994,4.930367e-12,4.140711e-07,0.9973926
P01,48,high,high_light_classroom,0.00027914834,0.00039753117,4.3302516e-06,5.357042e-05,1.4181729e-13,2.3860196e-07,0.9992652
P01,49,high,high_light_classroom,0.00015754312,0.00038587078,5.390258e-06,5.4095624e-05,2.2149996e-13,2.4086768e-07,0.99939674
P01,50,high,high_light_classroom,0.00016170295,0.0002474995,2.2701456e-06,3.652857e-05,4.745397e-14,1.6039536e-07,0.99955183
P01,51,high,high_light_classroom,4.3472635e-05,0.00013150278,6.5322133e-06,5.45713e-06,1.4694416e-14,9.7968815e-08,0.999813
P01,52,high,high_light_classroom,9.907656e-05,0.00014873069,1.3864045e-06,1.7438339e-05,6.4258257e-15,1.3836285e-07,0.99973327
P01,53,high,high_light_classroom,0.0003323463,0.0007779563,1.8595269e-05,0.00011397209,2.2644033e-12,4.53533e-07,0.99875665
P01,54,high,high_light_classroom,0.00022292382,0.0007433977,3.4323482e-05,0.000100005556,3.110332e-12,7.776825e-07,0.99889857
P01,55,high,high_light_classroom,0.0002569979,0.00028021005,5.174009e-06,3.4297474e-05,2.442021e-13,3.661635e-07,0.9994229
