participant_id,frame_id,cognitive_load_label,environment_info,happy,sad,angry,fear,disgust,surprise,neutral
P01,0,low,dim_light_classroom,0.021491972729563713,0.03151339665055275,0.8155337572097778,0.0006493994733318686,1.8641714632394724e-05,0.029778286814689636,0.10101453214883804
P01,1,low,dim_light_classroom,0.00012774071365129203,0.0046074227429926395,0.05031655728816986,0.0006294036866165698,1.5579811218913164e-08,0.00016059247718658298,0.9441582560539246
P01,2,low,dim_light_classroom,0.0002599252329673618,0.0038356164004653692,0.17648668587207794,0.0006801917916163802,2.3215505962070893e-08,0.00043056055437773466,0.8183069825172424
P01,3,low,dim_light_classroom,1.0406125511508435e-05,0.0028508203104138374,0.0019446598598733544,1.783244078978896e-05,3.585619856583122e-10,2.6791667551151477e-06,0.9951736330986023
P01,4,low,dim_light_classroom,6.983447369444172e-06,0.0006589442870161787,0.0010656578127255663,2.349358457708957e-06,6.391650335337585e-11,1.754705199352684e-06,0.998264253346413
P01,5,low,dim_light_classroom,0.00014333815488498658,0.007875512354075909,0.009162100031971931,0.0005034284549765289,5.4068598487333475e-09,3.109993122052401e-05,0.9822845458984375
P01,6,low,dim_light_classroom,0.0003598331240937114,0.013667386956512928,0.03856920823454857,0.003230554983019829,2.6798974772646034e-07,0.0004897324834018946,0.9436830282211304
P01,7,low,dim_light_classroom,1.6199301171582192e-05,0.000630062771961093,0.0044634067453444,8.607672498328611e-05,3.786603919309073e-09,7.448476935678627e-06,0.9947968125343323
P01,8,low,dim_light_classroom,0.0001403171627316624,0.0021178582683205605,0.014135222882032394,0.00013765017502009869,1.1929658150222622e-08,4.0806669858284295e-05,0.9834281802177429
P01,9,low,dim_light_classroom,0.00045063882134854794,0.0019659691024571657,0.006314787548035383,0.00031068187672644854,2.5190919572537496e-08,5.435702405520715e-05,0.9909035563468933
P01,10,low,dim_light_classroom,1.8913028943174382e-05,0.0005866464111445195,0.001372652792231905,2.364787137574867e-05,3.92628453170873e-11,7.92718084950659e-06,0.9979901908630247
P01,11,low,dim_light_classroom,3.771543785816806e-05,0.0005501284941176173,0.0010821356617442168,1.0726217354161583e-05,4.04002098930098e-11,4.015910929580731e-06,0.9983152746150061
P01,12,low,dim_light_classroom,2.814886101987213e-05,0.00038769523962400854,0.0007254638476297259,5.592271918430924e-06,2.8740912427771548e-11,2.7277908429823583e-06,0.9988503456115723
